Designator,Mid X,Mid Y,Layer,Rotation
C2,-46.0000,25.0000,Top,0
C5,-25.0000,46.0000,Top,0
C6,-14.0000,46.0000,Top,0
C7,-6.0000,46.0000,Top,0
C8,-2.0000,46.0000,Top,0
C9,0.0000,30.0000,Top,0
C10,46.0000,-32.0000,Top,0
C11,-42.0000,-14.0000,Top,0
C12,-25.0000,-23.0000,Top,0
C13,-14.0000,30.0000,Top,0
C14,-6.0000,30.0000,Top,0
C15,-18.5000,46.0000,Top,0
C16,-10.0000,46.0000,Top,0
C17,4.0000,30.0000,Top,0
C20,7.6000,0.0000,Top,-90
C21,6.5818,-3.8000,Top,-120
C22,3.8000,-6.5818,Top,-150
C24,-3.8000,-6.5818,Top,150
C25,-6.5818,-3.8000,Top,120
C26,-7.6000,0.0000,Top,90
C27,-6.5818,3.8000,Top,60
C28,-3.8000,6.5818,Top,30
C29,0.0000,7.6000,Top,0
C30,3.8000,6.5818,Top,-30
C31,6.5818,3.8000,Top,-60
D1,16.0000,-9.5000,Top,180
D2,2.0000,37.0000,Top,0
D3,27.0000,-28.0000,Top,0
D11,11.0000,0.0000,Top,-90
D12,9.5263,-5.5000,Top,-120
D13,5.5000,-9.5263,Top,-150
D15,-5.5000,-9.5263,Top,150
D16,-9.5263,-5.5000,Top,120
D17,-11.0000,0.0000,Top,90
D18,-9.5263,5.5000,Top,60
D19,-5.5000,9.5263,Top,30
D20,0.0000,11.0000,Top,0
D21,5.5000,9.5263,Top,-30
D22,9.5263,5.5000,Top,-60
F1,54.0000,-9.0000,Top,0
J3,36.0000,-27.0000,Top,0
J9,31.6500,-39.6900,Top,180
L1,9.0000,37.0000,Top,0
L2,4.0000,44.0000,Top,0
Q1,27.0000,-25.0000,Top,0
R1,25.0000,-33.0000,Top,0
R2,10.0000,44.0000,Top,0
R3,13.0000,44.0000,Top,0
R4,25.0000,-35.5000,Top,0
R5,8.0000,30.0000,Top,0
R6,11.0000,30.0000,Top,0
R7,14.0000,30.0000,Top,0
U1,-34.0000,34.0000,Top,0
U2,-2.0000,43.5000,Top,0
