Designator,Mid X,Mid Y,Layer,Rotation
C2,-46.0000,25.0000,Top,0
C5,-25.0000,46.0000,Top,0
C6,-14.0000,46.0000,Top,0
C7,-6.0000,46.0000,Top,0
C8,-2.0000,46.0000,Top,0
C9,0.0000,30.0000,Top,0
C10,30.0000,47.0000,Top,0
C11,-43.0000,-22.0000,Top,0
C12,-25.0000,-23.0000,Top,0
C13,-14.0000,30.0000,Top,0
C14,-6.0000,30.0000,Top,0
C15,-18.5000,46.0000,Top,0
C16,-10.0000,46.0000,Top,0
C17,4.0000,30.0000,Top,0
C20,9.6000,0.0000,Top,-90
C21,8.3138,-4.8000,Top,-120
C22,4.8000,-8.3138,Top,-150
C24,-4.8000,-8.3138,Top,150
C25,-8.3138,-4.8000,Top,120
C26,-9.6000,0.0000,Top,90
C27,-8.3138,4.8000,Top,60
C28,-4.8000,8.3138,Top,30
C29,0.0000,9.6000,Top,0
C30,4.8000,8.3138,Top,-30
C31,8.3138,4.8000,Top,-60
D1,19.0000,-9.5000,Top,180
D2,2.0000,37.0000,Top,0
D3,20.0000,-33.0000,Top,0
D11,13.0000,0.0000,Top,90
D12,11.2583,-6.5000,Top,60
D13,6.5000,-11.2583,Top,30
D15,-6.5000,-11.2583,Top,330
D16,-11.2583,-6.5000,Top,300
D17,-13.0000,0.0000,Top,270
D18,-11.2583,6.5000,Top,240
D19,-6.5000,11.2583,Top,210
D20,0.0000,13.0000,Top,180
D21,6.5000,11.2583,Top,150
D22,11.2583,6.5000,Top,120
F1,15.0000,-25.0000,Top,0
J3,38.0000,-27.0000,Top,180
J9,31.6500,-39.6900,Top,180
L1,9.0000,37.0000,Top,0
L2,4.0000,44.0000,Top,0
Q1,14.0000,-33.0000,Top,270
R1,14.0000,-37.0000,Top,0
R2,10.0000,44.0000,Top,0
R3,13.0000,44.0000,Top,0
R4,20.0000,-37.0000,Top,0
R5,8.0000,30.0000,Top,0
R6,11.0000,30.0000,Top,0
R7,14.0000,30.0000,Top,0
U1,-35.0000,34.0000,Top,180
U2,-2.0000,43.5000,Top,180
